episode,player_0_avg_payoff,player_0_rl_loss,player_0_sl_loss,player_0_won_pct,player_0_under_pct,player_0_over_pct,player_0_per_beta,player_1_avg_payoff,player_1_rl_loss,player_1_sl_loss,player_1_won_pct,player_1_under_pct,player_1_over_pct,player_1_per_beta,player_2_avg_payoff,player_2_rl_loss,player_2_sl_loss,player_2_won_pct,player_2_under_pct,player_2_over_pct,player_2_per_beta,player_3_avg_payoff,player_3_rl_loss,player_3_sl_loss,player_3_won_pct,player_3_under_pct,player_3_over_pct,player_3_per_beta
23000,-0.828,0.2602672576904297,0.06008516252040863,8.6,67.2,24.2,0.4029,-0.86,0.3350907266139984,0.10065288096666336,7.0,61.6,31.4,0.4029,-0.812,0.2874823808670044,0.03832569718360901,9.4,59.6,31.0,0.4029,-0.852,0.6828876733779907,0.0478476919233799,7.4,64.2,28.4,0.4029
23500,-0.876,0.23072926700115204,0.07765509188175201,6.2,62.6,31.2,0.4029,-0.852,0.3978769779205322,0.07961757481098175,7.4,64.0,28.6,0.4029,-0.852,0.7216693758964539,0.035614147782325745,7.4,61.0,31.6,0.4029,-0.856,0.27395159006118774,0.06754961609840393,7.2,62.8,30.0,0.4029
24000,-0.816,0.29327428340911865,0.025852203369140625,9.2,65.8,25.0,0.403,-0.872,0.41648179292678833,0.05971429497003555,6.4,61.8,31.8,0.403,-0.804,0.26528698205947876,0.03298875689506531,9.8,58.4,31.8,0.403,-0.84,0.3262481689453125,0.052498843520879745,8.0,60.4,31.6,0.403
24500,-0.884,0.149999737739563,0.03706538677215576,5.8,68.6,25.6,0.4031,-0.832,0.547212541103363,0.08781307190656662,8.4,57.6,34.0,0.4031,-0.86,0.2262384593486786,0.04012192785739899,7.0,59.0,34.0,0.4031,-0.856,0.2506777048110962,0.08587992191314697,7.2,62.8,30.0,0.4031
25000,-0.836,0.1935587227344513,0.04945772513747215,8.2,64.2,27.6,0.4031,-0.852,0.5094384551048279,0.08673663437366486,7.4,62.8,29.8,0.4031,-0.86,0.21960166096687317,0.03075067698955536,7.0,59.4,33.6,0.4031,-0.864,0.3259563148021698,0.0621894896030426,6.8,60.6,32.6,0.4031
25500,-0.872,0.75738126039505,0.027428466826677322,6.4,62.6,31.0,0.4032,-0.844,0.27307790517807007,0.049273669719696045,7.8,61.0,31.2,0.4032,-0.892,0.26523613929748535,0.08602875471115112,5.4,63.8,30.8,0.4032,-0.832,0.3882233798503876,0.07125826925039291,8.4,62.6,29.0,0.4032
26000,-0.84,0.32645076513290405,0.03343251347541809,8.0,65.2,26.8,0.4032,-0.864,0.3466554582118988,0.049207985401153564,6.8,56.8,36.4,0.4032,-0.848,1.106689214706421,0.09278601408004761,7.6,60.6,31.8,0.4032,-0.896,0.624840497970581,0.0796898603439331,5.2,63.4,31.4,0.4032
26500,-0.82,0.5831493139266968,0.07959850132465363,9.0,63.8,27.2,0.4033,-0.86,0.46714600920677185,0.077427439391613,7.0,58.2,34.8,0.4033,-0.848,0.40343427658081055,0.08578145503997803,7.6,59.4,33.0,0.4033,-0.816,0.47299203276634216,0.017567727714776993,9.2,59.6,31.2,0.4033
27000,-0.824,0.5141017436981201,0.02438107691705227,8.8,61.2,30.0,0.4034,-0.832,0.44599243998527527,0.0685219019651413,8.4,59.2,32.4,0.4034,-0.84,0.6085330843925476,0.09225401282310486,8.0,61.2,30.8,0.4034,-0.848,0.461193323135376,0.04943898320198059,7.6,62.8,29.6,0.4034
27500,-0.788,0.6556423902511597,0.04798820614814758,10.6,61.4,28.0,0.4034,-0.864,0.4212188720703125,0.05517207086086273,6.8,63.2,30.0,0.4034,-0.84,0.4992942214012146,0.032327063381671906,8.0,59.8,32.2,0.4034,-0.892,0.7686384320259094,0.040479063987731934,5.4,65.0,29.6,0.4034
